player_node,team_node,player_name,team_name,group,leagues,minutes_domestic,games_domestic,wins_domestic,first_date,last_date,active_years,minutes_international,games_international,wins_international,minutes_total,games_total,wins_total,domestic_win_rate
player::kiwi,team::alf,Kiwi,ALF,major,LMS,130.91666666666666,4,1.0,2019-02-22 00:00:00+00:00,2019-03-15 00:00:00+00:00,2019,0.0,0.0,0.0,130.91666666666666,4.0,1.0,0.25
player::leaky,team::alf,Leaky,ALF,major,LMS,1827.05,59,19.0,2019-01-18 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,1827.05,59.0,19.0,0.3220338983050847
player::moonblack,team::alf,MoonBlack,ALF,major,LMS,57.78333333333333,2,0.0,2019-06-14 00:00:00+00:00,2019-06-30 00:00:00+00:00,2019,0.0,0.0,0.0,57.78333333333333,2.0,0.0,0.0
player::skull,team::alf,SkuLL,ALF,major,LMS,1804.1333333333328,58,19.0,2019-01-18 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,1804.1333333333328,58.0,19.0,0.3275862068965517
player::taizan,team::alf,Taizan,ALF,major,LMS,83.83333333333333,3,0.0,2019-07-28 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,83.83333333333333,3.0,0.0,0.0
player::wsy,team::alf,WSY,ALF,major,LMS,1570.7166666666667,51,17.0,2019-01-18 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,1570.7166666666667,51.0,17.0,0.3333333333333333
player::xiaoemo,team::alf,Xiaoemo,ALF,major,LMS,1716.3,55,18.0,2019-01-25 00:00:00+00:00,2019-08-03 00:00:00+00:00,2019,0.0,0.0,0.0,1716.3,55.0,18.0,0.32727272727272727
player::aiming,team::afreecafreecs,Aiming,Afreeca Freecs,major,LCK,4306.466666666667,124,64.0,2018-01-23 00:00:00+00:00,2019-09-03 00:00:00+00:00,2018|2019,0.0,0.0,0.0,4306.466666666667,124.0,64.0,0.5161290322580645
player::brook-lee-jang-hoon,team::afreecafreecs,Brook (Lee Jang-hoon),Afreeca Freecs,major,LCK,195.16666666666669,6,2.0,2019-03-02 00:00:00+00:00,2019-03-07 00:00:00+00:00,2019,0.0,0.0,0.0,195.16666666666669,6.0,2.0,0.3333333333333333
player::dread-lee-jin-hyeok,team::afreecafreecs,Dread (Lee Jin-hyeok),Afreeca Freecs,major,LCK,3126.133333333333,91,42.0,2019-01-18 00:00:00+00:00,2019-09-03 00:00:00+00:00,2019,0.0,0.0,0.0,3126.133333333333,91.0,42.0,0.46153846153846156
player::jelly-son-ho-gyeong,team::afreecafreecs,Jelly (Son Ho-gyeong),Afreeca Freecs,major,LCK,791.6333333333333,23,7.0,2019-01-18 00:00:00+00:00,2019-03-30 00:00:00+00:00,2019,0.0,0.0,0.0,791.6333333333333,23.0,7.0,0.30434782608695654
player::kiin,team::afreecafreecs,Kiin,Afreeca Freecs,major,LCK,7202.983333333334,202,107.0,2018-01-16 00:00:00+00:00,2019-09-03 00:00:00+00:00,2018|2019,303.1666666666667,9.0,4.0,7506.15,211.0,111.0,0.5297029702970297
player::kramer,team::afreecafreecs,Kramer,Afreeca Freecs,major,LCK,6336.099999999999,172,96.0,2017-01-19 00:00:00+00:00,2018-08-18 00:00:00+00:00,2017|2018,303.1666666666667,9.0,4.0,6639.266666666666,181.0,100.0,0.5581395348837209
player::kuro,team::afreecafreecs,Kuro,Afreeca Freecs,major,LCK,7868.849999999999,214,122.0,2017-01-19 00:00:00+00:00,2018-08-18 00:00:00+00:00,2017|2018,303.1666666666667,9.0,4.0,8172.016666666666,223.0,126.0,0.5700934579439252
player::lindarang,team::afreecafreecs,Lindarang,Afreeca Freecs,major,LCK,459.3,12,3.0,2016-05-30 00:00:00+00:00,2016-08-29 00:00:00+00:00,2016,0.0,0.0,0.0,459.3,12.0,3.0,0.25
player::marin,team::afreecafreecs,MaRin,Afreeca Freecs,major,LCK,3946.4166666666665,108,57.0,2017-01-19 00:00:00+00:00,2017-08-30 00:00:00+00:00,2017,0.0,0.0,0.0,3946.4166666666665,108.0,57.0,0.5277777777777778
player::mickey-son-young-min,team::afreecafreecs,Mickey (Son Young-min),Afreeca Freecs,major,LCK,5466.166666666667,148,65.0,2015-05-20 00:00:00+00:00,2016-09-01 00:00:00+00:00,2015|2016,0.0,0.0,0.0,5466.166666666667,148.0,65.0,0.4391891891891892
player::mowgli,team::afreecafreecs,Mowgli,Afreeca Freecs,major,LCK,1481.05,41,24.0,2017-02-02 00:00:00+00:00,2018-08-05 00:00:00+00:00,2017|2018,56.2,2.0,1.0,1537.25,43.0,25.0,0.5853658536585366
player::proud,team::afreecafreecs,Proud,Afreeca Freecs,major,LCK,242.4333333333333,7,2.0,2019-01-20 00:00:00+00:00,2019-01-26 00:00:00+00:00,2019,0.0,0.0,0.0,242.4333333333333,7.0,2.0,0.2857142857142857
player::ssun-kim-tae-yang,team::afreecafreecs,SSUN (Kim Tae-yang),Afreeca Freecs,major,LCK,546.6666666666666,15,6.0,2019-02-24 00:00:00+00:00,2019-03-30 00:00:00+00:00,2019,0.0,0.0,0.0,546.6666666666666,15.0,6.0,0.4
player::ssol,team::afreecafreecs,SSol,Afreeca Freecs,major,LCK,331.43333333333334,9,2.0,2019-02-24 00:00:00+00:00,2019-03-07 00:00:00+00:00,2019,0.0,0.0,0.0,331.43333333333334,9.0,2.0,0.2222222222222222
player::sangyoon,team::afreecafreecs,Sangyoon,Afreeca Freecs,major,LCK,5466.166666666667,148,65.0,2015-05-20 00:00:00+00:00,2016-09-01 00:00:00+00:00,2015|2016,0.0,0.0,0.0,5466.166666666667,148.0,65.0,0.4391891891891892
player::senan,team::afreecafreecs,Senan,Afreeca Freecs,major,LCK,2098.733333333333,62,31.0,2019-02-24 00:00:00+00:00,2019-09-03 00:00:00+00:00,2019,0.0,0.0,0.0,2098.733333333333,62.0,31.0,0.5
player::seonghwan,team::afreecafreecs,SeongHwan,Afreeca Freecs,major,LCK,316.45,8,1.0,2016-05-30 00:00:00+00:00,2016-08-29 00:00:00+00:00,2016,0.0,0.0,0.0,316.45,8.0,1.0,0.125
player::snowflower,team::afreecafreecs,SnowFlower,Afreeca Freecs,major,LCK,5466.166666666667,148,65.0,2015-05-20 00:00:00+00:00,2016-09-01 00:00:00+00:00,2015|2016,0.0,0.0,0.0,5466.166666666667,148.0,65.0,0.4391891891891892
player::spirit,team::afreecafreecs,Spirit,Afreeca Freecs,major,LCK,6865.366666666667,187,102.0,2017-01-19 00:00:00+00:00,2019-02-17 00:00:00+00:00,2017|2018|2019,246.96666666666667,7.0,3.0,7112.333333333333,194.0,105.0,0.5454545454545454
player::tusin,team::afreecafreecs,TusiN,Afreeca Freecs,major,LCK,7868.849999999999,214,122.0,2017-01-19 00:00:00+00:00,2018-08-18 00:00:00+00:00,2017|2018,303.1666666666667,9.0,4.0,8172.016666666666,223.0,126.0,0.5700934579439252
player::ucal,team::afreecafreecs,Ucal,Afreeca Freecs,major,LCK,2538.7166666666667,75,34.0,2019-01-18 00:00:00+00:00,2019-09-03 00:00:00+00:00,2019,0.0,0.0,0.0,2538.7166666666667,75.0,34.0,0.4533333333333333
